Calculation1,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
ALTERNATIVE FAMILY EDUCATION53951,ALTERNATIVE FAMILY EDUCATION,Santa Cruz,Santa Cruz,App,,,,,,,,,
ALTERNATIVE FAMILY EDUCATION53951,ALTERNATIVE FAMILY EDUCATION,Santa Cruz,Santa Cruz,Adm,,,,,,,,,
ALTERNATIVE FAMILY EDUCATION53951,ALTERNATIVE FAMILY EDUCATION,Santa Cruz,Santa Cruz,Enr,,,,,,,,,
ALTERNATIVES IN ACTION HS50013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,App,18,,,17,,,,,
ALTERNATIVES IN ACTION HS50013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,Adm,,,,,,,,,
ALTERNATIVES IN ACTION HS50013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,Enr,,,,,,,,,
AMADOR HIGH SCHOOL53480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,App,16,,,,,,10,,
AMADOR HIGH SCHOOL53480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Adm,12,,,,,,9,,
AMADOR HIGH SCHOOL53480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Enr,7,,,,,,5,,
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,App,398,6,,25,,252,80,18,17
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Adm,329,5,,18,,229,46,16,15
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Enr,160,,,7,,114,19,,11
AMBASSADOR SCHL GLOBAL LDRSHP51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,App,27,,,19,,6,,,
AMBASSADOR SCHL GLOBAL LDRSHP51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Adm,16,,,12,,4,,,
AMBASSADOR SCHL GLOBAL LDRSHP51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Enr,7,,,4,,3,,,
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,App,87,12,,15,,50,7,,
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Adm,63,7,,9,,41,6,,
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Enr,39,4,,7,,26,,,
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,App,395,7,,11,,322,15,,12
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Adm,350,3,,4,,294,11,,11
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Enr,192,,,,,163,4,,8
AMERICAS FINEST CHARTER SCHOOL51210,AMERICAS FINEST CHARTER SCHOOL,San Diego,San Diego,App,,,,,,,,,
AMERICAS FINEST CHARTER SCHOOL51210,AMERICAS FINEST CHARTER SCHOOL,San Diego,San Diego,Adm,,,,,,,,,
AMERICAS FINEST CHARTER SCHOOL51210,AMERICAS FINEST CHARTER SCHOOL,San Diego,San Diego,Enr,,,,,,,,,
AMOS ALONZO STAGG HIGH SCHOOL53442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,App,30,5,,18,,5,,,
AMOS ALONZO STAGG HIGH SCHOOL53442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,Adm,20,4,,11,,5,,,
AMOS ALONZO STAGG HIGH SCHOOL53442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,Enr,10,,,6,,3,,,
ANAHEIM HIGH SCHOOL50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,App,139,,,123,,5,,,5
ANAHEIM HIGH SCHOOL50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Adm,89,,,78,,4,,,4
ANAHEIM HIGH SCHOOL50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Enr,48,,,43,,,,,
ANAHUACALMECAC INTRL UNIV PREP54332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,App,,,,,,,,,
ANAHUACALMECAC INTRL UNIV PREP54332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,Adm,,,,,,,,,
ANAHUACALMECAC INTRL UNIV PREP54332,ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,Enr,,,,,,,,,
ANALY HIGH SCHOOL53345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,App,76,,,14,,5,52,,
ANALY HIGH SCHOOL53345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Adm,55,,,11,,5,35,,
ANALY HIGH SCHOOL53345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Enr,26,,,5,,3,16,,
ANDERSON UNION HIGH SCHOOL50095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,App,6,,,5,,,,,
ANDERSON UNION HIGH SCHOOL50095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,Adm,,,,,,,,,
ANDERSON UNION HIGH SCHOOL50095,ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,Enr,,,,,,,,,
ANDERSON VALLEY HIGH SCHOOL50355,ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,App,7,,,5,,,,,
ANDERSON VALLEY HIGH SCHOOL50355,ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,Adm,4,,,3,,,,,
ANDERSON VALLEY HIGH SCHOOL50355,ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,Enr,3,,,,,,,,
ANDREW P HILL HIGH SCHOOL53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,App,54,,,16,,37,,,
ANDREW P HILL HIGH SCHOOL53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Adm,41,,,11,,29,,,
ANDREW P HILL HIGH SCHOOL53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Enr,24,,,3,,20,,,
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,App,143,23,,40,,48,31,,
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Adm,87,10,,22,,34,20,,
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Enr,51,5,,15,,20,11,,
ANIMO CTY CHAMPIONS CHARTER HS50396,ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,App,20,11,,9,,,,,
ANIMO CTY CHAMPIONS CHARTER HS50396,ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,Adm,14,8,,6,,,,,
ANIMO CTY CHAMPIONS CHARTER HS50396,ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,Enr,5,3,,,,,,,
ANIMO INGLEWOOD CHARTER HS51255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,App,70,6,,64,,,,,
ANIMO INGLEWOOD CHARTER HS51255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,Adm,52,4,,48,,,,,
ANIMO INGLEWOOD CHARTER HS51255,ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,Enr,24,3,,21,,,,,
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,App,95,6,,87,,,,,
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Adm,63,6,,56,,,,,
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Enr,32,3,,28,,,,,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,App,104,,,100,,,,,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Adm,90,,,86,,,,,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Enr,31,,,29,,,,,
ANIMO PAT BROWN CHARTER HS54238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,App,97,,,96,,,,,
ANIMO PAT BROWN CHARTER HS54238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,Adm,87,,,86,,,,,
ANIMO PAT BROWN CHARTER HS54238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,Enr,29,,,,,,,,
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,App,42,,,41,,,,,
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Adm,33,,,32,,,,,
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Enr,19,,,,,,,,
ANIMO S LOS ANGELES CHARTER HS53975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,App,64,12,,51,,,,,
ANIMO S LOS ANGELES CHARTER HS53975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,Adm,45,7,,38,,,,,
ANIMO S LOS ANGELES CHARTER HS53975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,Enr,8,,,7,,,,,
ANIMO VENICE CHARTER HS54069,ANIMO VENICE CHARTER HS,Venice,Los Angeles,App,48,,,44,,,,,
ANIMO VENICE CHARTER HS54069,ANIMO VENICE CHARTER HS,Venice,Los Angeles,Adm,33,,,30,,,,,
ANIMO VENICE CHARTER HS54069,ANIMO VENICE CHARTER HS,Venice,Los Angeles,Enr,14,,,,,,,,
ANIMO WATTS COLLGE PREP ACDMY54283,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,App,45,,,41,,,,,
ANIMO WATTS COLLGE PREP ACDMY54283,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,Adm,29,,,27,,,,,
ANIMO WATTS COLLGE PREP ACDMY54283,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,Enr,12,,,,,,,,
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,App,140,,,31,,62,37,,
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Adm,91,,,18,,44,21,,
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Enr,48,,,5,,27,10,,
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,App,69,10,,15,,24,19,,
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Adm,52,7,,12,,19,14,,
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Enr,32,4,,9,,11,8,,
ANTELOPE VALLEY HIGH SCHOOL51355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,App,44,12,,30,,,,,
ANTELOPE VALLEY HIGH SCHOOL51355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,Adm,31,6,,23,,,,,
ANTELOPE VALLEY HIGH SCHOOL51355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,Enr,11,4,,7,,,,,
ANTELOPE VALLEY LEARNING ACDMY54679,ANTELOPE VALLEY LEARNING ACDMY,Palmdale,Los Angeles,App,,,,,,,,,
ANTELOPE VALLEY LEARNING ACDMY54679,ANTELOPE VALLEY LEARNING ACDMY,Palmdale,Los Angeles,Adm,,,,,,,,,
ANTELOPE VALLEY LEARNING ACDMY54679,ANTELOPE VALLEY LEARNING ACDMY,Palmdale,Los Angeles,Enr,,,,,,,,,
ANTIOCH HIGH SCHOOL50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,App,56,10,,25,,6,13,,
ANTIOCH HIGH SCHOOL50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Adm,41,6,,21,,5,8,,
ANTIOCH HIGH SCHOOL50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Enr,18,4,,9,,,,,
ANZAR HIGH SCHOOL53133,ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,App,6,,,,,,,,
ANZAR HIGH SCHOOL53133,ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,Adm,,,,,,,,,
ANZAR HIGH SCHOOL53133,ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,Enr,,,,,,,,,
APEX ACADEMY HIGH SCHOOL54291,APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,App,17,,,,,,,,
APEX ACADEMY HIGH SCHOOL54291,APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,Adm,14,,,,,,,,
APEX ACADEMY HIGH SCHOOL54291,APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,Enr,7,,,,,,,,
APOLLO HIGH SCHOOL53147,APOLLO HIGH SCHOOL,San Jose,Santa Clara,App,,,,,,,,,
APOLLO HIGH SCHOOL53147,APOLLO HIGH SCHOOL,San Jose,Santa Clara,Adm,,,,,,,,,
APOLLO HIGH SCHOOL53147,APOLLO HIGH SCHOOL,San Jose,Santa Clara,Enr,,,,,,,,,
APOLLO HIGH SCHOOL53377,APOLLO HIGH SCHOOL,Simi Valley,Ventura,App,,,,,,,,,
APOLLO HIGH SCHOOL53377,APOLLO HIGH SCHOOL,Simi Valley,Ventura,Adm,,,,,,,,,
APOLLO HIGH SCHOOL53377,APOLLO HIGH SCHOOL,Simi Valley,Ventura,Enr,,,,,,,,,
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,App,71,8,,40,,,17,,
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Adm,43,5,,22,,,13,,
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Enr,21,,,9,,,7,,
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,App,29,,,28,,,,,
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,Adm,19,,,18,,,,,
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,Enr,12,,,11,,,,,
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,App,103,,,42,,9,48,,
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Adm,61,,,27,,7,26,,
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Enr,28,,,14,,,11,,
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,App,252,8,,40,,131,57,9,
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Adm,190,4,,23,,116,37,6,
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Enr,81,,,9,,52,14,3,
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,App,415,7,,32,,321,21,28,6
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Adm,330,3,,20,,265,16,22,4
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Enr,166,,,9,,136,6,12,
ARCATA HIGH SCHOOL50135,ARCATA HIGH SCHOOL,Arcata,Humboldt,App,49,,,7,,,33,,
ARCATA HIGH SCHOOL50135,ARCATA HIGH SCHOOL,Arcata,Humboldt,Adm,36,,,6,,,24,,
ARCATA HIGH SCHOOL50135,ARCATA HIGH SCHOOL,Arcata,Humboldt,Enr,19,,,3,,,12,,
ARCHIE WILLIAMS HIGH SCHOOL52770,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,App,134,7,,14,,16,91,,
ARCHIE WILLIAMS HIGH SCHOOL52770,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,Adm,83,7,,10,,10,50,,
ARCHIE WILLIAMS HIGH SCHOOL52770,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,Enr,33,4,,,,4,21,,
ARCHITECTURE CONSTRUCT ENG HS54495,ARCHITECTURE CONSTRUCT ENG HS,Camarillo,Ventura,App,,,,,,,,,
ARCHITECTURE CONSTRUCT ENG HS54495,ARCHITECTURE CONSTRUCT ENG HS,Camarillo,Ventura,Adm,,,,,,,,,
ARCHITECTURE CONSTRUCT ENG HS54495,ARCHITECTURE CONSTRUCT ENG HS,Camarillo,Ventura,Enr,,,,,,,,,
ARGONAUT HIGH SCHOOL51275,ARGONAUT HIGH SCHOOL,Jackson,Amador,App,10,,,,,,,,
ARGONAUT HIGH SCHOOL51275,ARGONAUT HIGH SCHOOL,Jackson,Amador,Adm,8,,,,,,,,
ARGONAUT HIGH SCHOOL51275,ARGONAUT HIGH SCHOOL,Jackson,Amador,Enr,,,,,,,,,
ARISE HIGH SCHOOL54258,ARISE HIGH SCHOOL,Oakland,Alameda,App,20,,,19,,,,,
ARISE HIGH SCHOOL54258,ARISE HIGH SCHOOL,Oakland,Alameda,Adm,12,,,11,,,,,
ARISE HIGH SCHOOL54258,ARISE HIGH SCHOOL,Oakland,Alameda,Enr,4,,,3,,,,,
ARK INDEPENDENT STUDIES53367,ARK INDEPENDENT STUDIES,Santa Cruz,Santa Cruz,App,,,,,,,,,
ARK INDEPENDENT STUDIES53367,ARK INDEPENDENT STUDIES,Santa Cruz,Santa Cruz,Adm,,,,,,,,,
ARK INDEPENDENT STUDIES53367,ARK INDEPENDENT STUDIES,Santa Cruz,Santa Cruz,Enr,,,,,,,,,
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,App,45,,,44,,,,,
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,Adm,28,,,,,,,,
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,Enr,5,,,,,,,,
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,App,100,5,,63,,15,14,,
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Adm,60,3,,35,,12,8,,
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Enr,43,,,24,,10,5,,
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,App,46,5,,15,,22,,,
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,Adm,31,,,10,,15,,,
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,Enr,19,,,5,,9,,,
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,App,394,24,,42,,242,63,18,
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Adm,267,14,,20,,177,40,12,
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Enr,117,6,,7,,82,17,,
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,App,91,,,32,,9,47,,
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Adm,64,,,20,,8,34,,
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Enr,32,,,9,,3,19,,
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,App,112,,,37,,73,,,
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Adm,71,,,14,,55,,,
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Enr,53,,,5,,47,,,
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,App,99,7,,16,,71,5,,
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Adm,75,4,,8,,58,5,,
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Enr,45,3,,4,,34,4,,
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,App,117,9,,102,,,,,
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Adm,88,4,,78,,,,,
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Enr,36,,,31,,,,,
ARTESIA HIGH SCHOOL50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,App,57,6,,38,,12,,,
ARTESIA HIGH SCHOOL50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,Adm,40,3,,28,,9,,,
ARTESIA HIGH SCHOOL50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,Enr,20,,,12,,7,,,
ARTS & ENTERTAINMENT VIRTUAL ACAD55470,ARTS & ENTERTAINMENT VIRTUAL ACAD,Carson,Los Angeles,App,,,,,,,,,
ARTS & ENTERTAINMENT VIRTUAL ACAD55470,ARTS & ENTERTAINMENT VIRTUAL ACAD,Carson,Los Angeles,Adm,,,,,,,,,
ARTS & ENTERTAINMENT VIRTUAL ACAD55470,ARTS & ENTERTAINMENT VIRTUAL ACAD,Carson,Los Angeles,Enr,,,,,,,,,
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,App,65,,,64,,,,,
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,Adm,50,,,49,,,,,
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,Enr,27,,,26,,,,,
ASPIRE ALEXANDER TWILIGHT SCND54516,ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,App,27,,,21,,,,,
ASPIRE ALEXANDER TWILIGHT SCND54516,ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,Adm,18,,,14,,,,,
ASPIRE ALEXANDER TWILIGHT SCND54516,ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,Enr,5,,,3,,,,,
ASPIRE BENJAMIN HOLT COLG PREP53843,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,App,56,,,23,,23,5,,
ASPIRE BENJAMIN HOLT COLG PREP53843,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,Adm,48,,,19,,19,5,,
ASPIRE BENJAMIN HOLT COLG PREP53843,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,Enr,31,,,12,,11,3,,
ASPIRE CENTENNIAL COLG PREP ACADEMY54370,ASPIRE CENTENNIAL COLG PREP ACADEMY,Huntington Park,Los Angeles,App,,,,,,,,,
ASPIRE CENTENNIAL COLG PREP ACADEMY54370,ASPIRE CENTENNIAL COLG PREP ACADEMY,Huntington Park,Los Angeles,Adm,,,,,,,,,
ASPIRE CENTENNIAL COLG PREP ACADEMY54370,ASPIRE CENTENNIAL COLG PREP ACADEMY,Huntington Park,Los Angeles,Enr,,,,,,,,,
ASPIRE GOLDEN STATE PREP ACADEMY54260,ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,App,17,,,16,,,,,
ASPIRE GOLDEN STATE PREP ACADEMY54260,ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,Adm,9,,,,,,,,
ASPIRE GOLDEN STATE PREP ACADEMY54260,ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,Enr,5,,,,,,,,
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,App,16,,,8,,5,,,
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,Adm,12,,,5,,5,,,
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,Enr,5,,,3,,,,,
ASPIRE LIONEL WILSON COLG PREP51761,ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,App,24,,,23,,,,,
ASPIRE LIONEL WILSON COLG PREP51761,ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,Adm,18,,,17,,,,,
ASPIRE LIONEL WILSON COLG PREP51761,ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,Enr,7,,,6,,,,,
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,App,37,,,36,,,,,
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,Adm,32,,,31,,,,,
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,Enr,10,,,9,,,,,
ASPIRE PACIFIC ACADEMY51214,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,App,32,,,31,,,,,
ASPIRE PACIFIC ACADEMY51214,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,Adm,25,,,,,,,,
ASPIRE PACIFIC ACADEMY51214,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,Enr,10,,,,,,,,
ASPIRE RICHMOND CA COLG PREP54847,ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,App,30,,,24,,,,,
ASPIRE RICHMOND CA COLG PREP54847,ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,Adm,23,,,21,,,,,
ASPIRE RICHMOND CA COLG PREP54847,ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,Enr,11,,,9,,,,,
ASPIRE VANGUARD COL PREP ACAD54446,ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,App,16,,,12,,,,,
ASPIRE VANGUARD COL PREP ACAD54446,ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,Adm,15,,,12,,,,,
ASPIRE VANGUARD COL PREP ACAD54446,ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,Enr,5,,,4,,,,,
ASSURANCE LEARNING ACADEMY54765,ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,App,8,,,6,,,,,
ASSURANCE LEARNING ACADEMY54765,ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,Adm,,,,,,,,,
